,likes,Checkins,Returns,Category,commBase,comm24,comm48,comm24_1,"diff_24,48",baseTime,length,shares,hrs,sun_pub,mon_pub,tue_pub,wed_pub,thu_pub,fri_pub,sat_pub,sun_base,mon_base,tue_base,wed_base,thu_base,fri_base,sat_base,output
0,634995,0,463,1,0,0,0,0,0,65,166,2,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,634995,0,463,1,0,0,0,0,0,10,132,1,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2,634995,0,463,1,0,0,0,0,0,14,133,2,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,634995,0,463,1,7,0,3,7,-3,62,131,1,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,634995,0,463,1,1,0,0,1,0,58,142,5,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,634995,0,463,1,0,0,0,0,0,60,166,1,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,634995,0,463,1,0,0,0,0,0,68,145,2,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,634995,0,463,1,1,0,1,1,-1,32,157,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8,634995,0,463,1,0,0,0,0,0,35,177,5,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9,634995,0,463,1,0,0,0,0,0,48,126,1,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,634995,0,463,1,0,0,0,0,0,52,188,1,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,634995,0,463,1,1,0,0,1,0,69,172,4,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12,634995,0,463,1,0,0,0,0,0,3,157,4,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
13,634995,0,463,1,1,1,0,1,1,37,126,1,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14,634995,0,463,1,3,0,3,3,-3,40,158,4,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15,634995,0,463,1,3,0,3,2,-3,54,151,3,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16,634995,0,463,1,0,0,0,0,0,29,133,1,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17,634995,0,463,1,1,0,1,1,-1,36,137,3,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18,634995,0,463,1,0,0,0,0,0,11,106,3,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,634995,0,463,1,6,0,1,6,-1,54,64,1,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,634995,0,463,1,0,0,0,0,0,69,111,4,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21,634995,0,463,1,0,0,0,0,0,71,156,3,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
22,634995,0,463,1,0,0,0,0,0,61,199,3,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
23,634995,0,463,1,4,4,0,4,4,13,300,3,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
24,634995,0,463,1,2,0,2,2,-2,37,168,3,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25,634995,0,463,1,2,2,0,2,2,11,116,4,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
26,634995,0,463,1,0,0,0,0,0,43,64,3,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27,634995,0,463,1,0,0,0,0,0,64,186,3,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28,634995,0,463,1,8,8,0,8,8,12,114,13,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
29,634995,0,463,1,1,0,1,1,-1,31,142,5,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
